FIPS,county,totaltested,totalpos,percent
37015,Bertie County,1665,1,0.06006006006006006
37017,Bladen County,2669,5,0.18733608092918697
37019,Brunswick County,7054,11,0.1559398922597108
37021,Buncombe County,15230,18,0.11818778726198292
37023,Burke County,6594,6,0.09099181073703368
37025,Cabarrus County,17978,29,0.16130826565802647
37027,Caldwell County,6873,9,0.13094718463553034
37029,Camden County,453,0,0.0
37031,Carteret County,4005,7,0.17478152309612985
37033,Caswell County,1261,6,0.47581284694686754
37035,Catawba County,12445,33,0.26516673362796306
37037,Chatham County,2640,20,0.7575757575757576
37039,Cherokee County,858,0,0.0
37041,Chowan County,1315,3,0.22813688212927757
37043,Clay County,643,0,0.0
37045,Cleveland County,8206,27,0.32902754082378743
37047,Columbus County,6678,29,0.434261755016472
37049,Craven County,11412,13,0.11391517700665965
37051,Cumberland County,16266,41,0.25205951063568177
37053,Currituck County,1073,2,0.1863932898415657
37055,Dare County,1203,0,0.0
37057,Davidson County,11683,31,0.2653428057861851
37059,Davie County,2339,5,0.21376656690893547
37061,Duplin County,5962,32,0.5367326400536733
37063,Durham County,23675,101,0.426610348468849
37065,Edgecombe County,5961,50,0.8387854386847844
37067,Forsyth County,26399,98,0.3712261828099549
37069,Franklin County,3324,17,0.5114320096269556
37071,Gaston County,9443,21,0.2223869532987398
37073,Gates County,655,4,0.6106870229007634
37075,Graham County,680,0,0.0
37077,Granville County,3649,14,0.3836667580158948
37079,Greene County,1119,8,0.7149240393208222
37081,Guilford County,41801,127,0.30382048276357027
37083,Halifax County,6135,55,0.8964955175224123
37085,Harnett County,9957,16,0.16069097117605705
37087,Haywood County,3485,4,0.11477761836441894
37089,Henderson County,5216,9,0.17254601226993865
37091,Hertford County,1818,5,0.27502750275027504
37093,Hoke County,2352,13,0.5527210884353742
37095,Hyde County,279,3,1.0752688172043012
37097,Iredell County,7429,11,0.14806838067034594
37099,Jackson County,1913,3,0.15682174594877157
37101,Johnston County,11535,12,0.10403120936280884
37103,Jones County,669,1,0.14947683109118087
37105,Lee County,7488,27,0.3605769230769231
37107,Lenoir County,7458,61,0.8179136497720568
37109,Lincoln County,3289,8,0.2432350258437215
37111,McDowell County,2478,7,0.2824858757062147
37113,Macon County,2241,8,0.35698348951361
37115,Madison County,1258,4,0.3179650238473768
